"Ư����(1)",Ư����(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"Ư����(1)",Ư����(2),���(�̼����� ���� �ſ� �����溸),���(�̼����� ���� �ſ� �����溸),���(�̼����� ���� �ſ� �����溸),���(�̼����� ���� �ſ� �����溸),���(�̼����� ���� �ſ� �����溸),���(�̼����� ���� �ſ� �����溸),����(��õ ��õ ���ϼ� �����),����(��õ ��õ ���ϼ� �����),����(��õ ��õ ���ϼ� �����),����(��õ ��õ ���ϼ� �����),����(��õ ��õ ���ϼ� �����),����(��õ ��õ ���ϼ� �����),���(������ ��� ��⹰ ������ ���� ����),���(������ ��� ��⹰ ������ ���� ����),���(������ ��� ��⹰ ������ ���� ����),���(������ ��� ��⹰ ������ ���� ����),���(������ ��� ��⹰ ������ ���� ����),���(������ ��� ��⹰ ������ ���� ����),���� ����(�ڵ��� ö�� �Ǽ����� ��),���� ����(�ڵ��� ö�� �Ǽ����� ��),���� ����(�ڵ��� ö�� �Ǽ����� ��),���� ����(�ڵ��� ö�� �Ǽ����� ��),���� ����(�ڵ��� ö�� �Ǽ����� ��),���� ����(�ڵ��� ö�� �Ǽ����� ��),����ȯ��(�ڿ���� �� ���� ���� ��),����ȯ��(�ڿ���� �� ���� ���� ��),����ȯ��(�ڿ���� �� ���� ���� ��),����ȯ��(�ڿ���� �� ���� ���� ��),����ȯ��(�ڿ���� �� ���� ���� ��),����ȯ��(�ڿ���� �� ���� ���� ��)
"Ư����(1)",Ư����(2),�ſ� ���ڴ� (%),�ణ ���ڴ� (%),�����̴� (%),�ణ ���� (%),�ſ� ���� (%),��� (��),�ſ� ���ڴ� (%),�ణ ���ڴ� (%),�����̴� (%),�ణ ���� (%),�ſ� ���� (%),��� (��),�ſ� ���ڴ� (%),�ణ ���ڴ� (%),�����̴� (%),�ణ ���� (%),�ſ� ���� (%),��� (��),�ſ� ���ڴ� (%),�ణ ���ڴ� (%),�����̴� (%),�ణ ���� (%),�ſ� ���� (%),��� (��),�ſ� ���ڴ� (%),�ణ ���ڴ� (%),�����̴� (%),�ణ ���� (%),�ſ� ���� (%),��� (��)
"��ü",�Ұ�,3.8,12.8,36.9,34.0,12.6,3.4,1.7,7.4,43.4,34.5,12.9,3.5,1.7,9.8,43.1,34.6,10.9,3.4,2.2,13.8,39.5,34.4,10.2,3.4,1.5,7.9,36.7,40.4,13.4,3.6
"����",����,3.4,13.2,36.7,33.9,12.8,3.4,1.4,7.5,43.3,34.7,13.2,3.5,1.4,10.1,42.9,34.5,11.1,3.4,2.2,13.7,40.4,33.5,10.2,3.4,1.4,7.0,37.7,40.1,13.7,3.6
"����",����,4.2,12.3,37.0,34.1,12.4,3.4,2.1,7.4,43.6,34.3,12.7,3.5,1.9,9.4,43.4,34.7,10.7,3.4,2.3,13.8,38.6,35.3,10.1,3.4,1.6,8.9,35.6,40.8,13.1,3.5
"���ɺ�",29�� ����,2.0,16.4,45.9,29.5,6.1,3.2,1.0,6.2,56.1,29.6,7.1,3.4,1.0,9.1,53.3,31.6,5.1,3.3,2.0,11.9,50.5,29.5,6.1,3.3,1.0,7.0,44.4,37.6,10.1,3.5
"���ɺ�",30 ~ 39��,3.2,11.8,31.2,43.0,10.8,3.5,0.0,3.2,39.8,47.3,9.7,3.6,0.0,5.4,37.6,47.3,9.7,3.6,1.1,7.5,37.7,45.1,8.6,3.5,0.0,4.3,30.2,54.7,10.8,3.7
"���ɺ�",40 ~ 49��,3.5,14.1,36.6,30.9,15.0,3.4,0.0,3.5,50.0,29.2,17.3,3.6,0.0,4.1,49.8,30.9,15.1,3.6,1.5,13.8,37.3,32.1,15.3,3.5,0.6,3.5,40.1,40.2,15.6,3.7
"���ɺ�",50 ~ 59��,3.4,13.0,36.9,34.1,12.5,3.4,1.7,9.1,40.9,35.4,12.9,3.5,2.5,9.5,43.0,33.7,11.2,3.4,3.4,15.9,37.4,33.7,9.5,3.3,2.1,8.6,33.9,41.6,13.8,3.6
